nms,dataset,var,time,stat,value
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-12-01T00:00:00Z,mean,4.9221011948712325
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1999-12-01T00:00:00Z,sd,3.347860042055085
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-01-01T00:00:00Z,mean,4.987880920000533
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-01-01T00:00:00Z,sd,3.451421612605072
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-02-01T00:00:00Z,mean,5.10550834603132
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-02-01T00:00:00Z,sd,3.56885114718709
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-03-01T00:00:00Z,mean,4.866045835645909
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-03-01T00:00:00Z,sd,3.3115208110660044
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-04-01T00:00:00Z,mean,4.828021071534208
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-04-01T00:00:00Z,sd,3.219651172617327
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-05-01T00:00:00Z,mean,4.860949893898153
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-05-01T00:00:00Z,sd,3.2428418045834566
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-06-01T00:00:00Z,mean,4.7820952601255255
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-06-01T00:00:00Z,sd,3.134088290594865
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-07-01T00:00:00Z,mean,4.794702651177315
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-07-01T00:00:00Z,sd,3.182549235196518
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-08-01T00:00:00Z,mean,4.832446904734094
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-08-01T00:00:00Z,sd,3.23909954310787
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-09-01T00:00:00Z,mean,4.964723215299718
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-09-01T00:00:00Z,sd,3.404386940795089
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-10-01T00:00:00Z,mean,4.992774270791957
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-10-01T00:00:00Z,sd,3.44181910777957
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-11-01T00:00:00Z,mean,4.916444232013632
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-11-01T00:00:00Z,sd,3.338539632128074
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-12-01T00:00:00Z,mean,5.089955594152846
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2000-12-01T00:00:00Z,sd,3.560709610629352
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-01-01T00:00:00Z,mean,5.109326406362209
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-01-01T00:00:00Z,sd,3.5677975366755694
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-02-01T00:00:00Z,mean,5.009386729211249
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-02-01T00:00:00Z,sd,3.50349321465245
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-03-01T00:00:00Z,mean,4.988706867745582
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-03-01T00:00:00Z,sd,3.4270158312210497
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-04-01T00:00:00Z,mean,4.864674450710733
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-04-01T00:00:00Z,sd,3.308919723649288
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-05-01T00:00:00Z,mean,4.730543653698677
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-05-01T00:00:00Z,sd,3.107306191899186
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-06-01T00:00:00Z,mean,4.835065003246703
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-06-01T00:00:00Z,sd,3.2204319993056183
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-07-01T00:00:00Z,mean,4.791476779795707
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-07-01T00:00:00Z,sd,3.187419231278528
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-08-01T00:00:00Z,mean,4.822878378027297
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-08-01T00:00:00Z,sd,3.239781881028758
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-09-01T00:00:00Z,mean,4.901296662047822
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-09-01T00:00:00Z,sd,3.356887251404734
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-10-01T00:00:00Z,mean,5.061748699463428
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-10-01T00:00:00Z,sd,3.5634809869515647
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-11-01T00:00:00Z,mean,5.3396723237126436
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-11-01T00:00:00Z,sd,3.8741751389932726
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-12-01T00:00:00Z,mean,5.019111095115226
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,2001-12-01T00:00:00Z,sd,3.493080711335698
