nms,dataset,var,time,stat
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_302,2018-02-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_302,2018-02-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_303,2018-03-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_303,2018-03-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_304,2018-04-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_304,2018-04-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_305,2018-05-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_305,2018-05-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_306,2018-06-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_306,2018-06-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_307,2018-07-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_307,2018-07-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_308,2018-08-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_308,2018-08-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_309,2018-09-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_309,2018-09-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_31,1995-07-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_31,1995-07-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_310,2018-10-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_310,2018-10-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_311,2018-11-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_311,2018-11-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_312,2018-12-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_312,2018-12-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_313,2019-01-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_313,2019-01-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_314,2019-02-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_314,2019-02-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_315,2019-03-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_315,2019-03-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_316,2019-04-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_316,2019-04-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_317,2019-05-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_317,2019-05-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_318,2019-06-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_318,2019-06-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_319,2019-07-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_319,2019-07-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_32,1995-08-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_32,1995-08-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_320,2019-08-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_320,2019-08-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_321,2019-09-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_321,2019-09-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_322,2019-10-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_322,2019-10-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_323,2019-11-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_323,2019-11-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_324,2019-12-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_324,2019-12-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_325,2020-01-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_325,2020-01-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_326,2020-02-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_326,2020-02-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_327,2020-03-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_327,2020-03-01T00:00:00Z,sd
